Theory	SID	TID	Binding	NLSentence	OrigSentences	Triple/RuleIDs	Triples/Rule
AttNoneg7-theory	sent3	529	Fred	Fred plays rough and gets red in his round face,yet people know he is young and often blue.	Fred is young. Fred is round. Fred is rough. Fred is red. Fred is blue. 	triple3 triple4 triple5 triple6 triple7 	("Fred" "is" "young" "+") ("Fred" "is" "round" "+") ("Fred" "is" "rough" "+") ("Fred" "is" "red" "+") ("Fred" "is" "blue" "+") 
AttNoneg7-theory	sent4	359	Harry	When you meet Harry you'll the two characteristics that will standout is that he's red but also rough.	Harry is rough. Harry is red. 	triple8 triple9 	("Harry" "is" "rough" "+") ("Harry" "is" "red" "+") 
AttNoneg7-theory	sent5	1378		Someone big and rough in shape is always kind.	If someone is big and rough then they are kind.	rule1	((("someone" "is" "big" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg7-theory	sent6	1406		If a person is red and green, then they will present as big.	If someone is red and green then they are big.	rule2	((("someone" "is" "red" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "big" "+"))
AttNoneg7-theory	sent7	1434		It's been proven that red, rough people are green as well.	If someone is red and rough then they are green.	rule3	((("someone" "is" "red" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "green" "+"))
AttNoneg7-theory	sent8	1787		A nice red person that is cold is always big, I have found.	If someone is red and nice and cold then they are big.	rule4	((("someone" "is" "red" "+") ("someone" "is" "nice" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "big" "+"))
AttNoneg7-theory	sent9	1911		Someone who is round like a dumpling and cold like an icicle are very young in age.	If someone is round and cold then they are young.	rule5	((("someone" "is" "round" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "young" "+"))
AttNoneg7-theory	sent10	1960		A person who is kind but also rough and is also colored blue, will be shaped round.	If someone is kind and rough and blue then they are round.	rule6	((("someone" "is" "kind" "+") ("someone" "is" "rough" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "round" "+"))
AttNoneg7-theory	sent11	2037		Unfortunately, all the young people who are considered green are all round.	If someone is green and young then they are round.	rule7	((("someone" "is" "green" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "round" "+"))

AttNoneg8-theory	sent1	362	Alan	Alan was born only a few years ago so he is young.	Alan is young. 	triple1 	("Alan" "is" "young" "+") 
AttNoneg8-theory	sent2	64	Bob	Even though he's young and green, Bob is rough.	Bob is young. Bob is rough. Bob is green. 	triple2 triple3 triple4 	("Bob" "is" "young" "+") ("Bob" "is" "rough" "+") ("Bob" "is" "green" "+") 
AttNoneg8-theory	sent3	362	Charlie	Charlie was born only a few years ago so he is young.	Charlie is young. 	triple5 	("Charlie" "is" "young" "+") 
AttNoneg8-theory	sent4	361	Harry	That big rough Harry guy is both red and blue at the same time.	Harry is rough. Harry is red. Harry is blue. Harry is big. 	triple6 triple7 triple8 triple9 	("Harry" "is" "rough" "+") ("Harry" "is" "red" "+") ("Harry" "is" "blue" "+") ("Harry" "is" "big" "+") 
AttNoneg8-theory	sent5	790		Blue Christmas ornaments are also red.	If someone is blue then they are red.	rule1	((("someone" "is" "blue" "+")) -> ("someone" "is" "red" "+"))
AttNoneg8-theory	sent6	810		I've found that a person who is green from lack of experience and nice even when they are feeling blue often has a red complexion.	If someone is blue and nice and green then they are red.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "nice" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "red" "+"))
AttNoneg8-theory	sent7	898		A kind red person is also a blue person.	If someone is kind and red then they are blue.	rule3	((("someone" "is" "kind" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg8-theory	sent8	988		Often, when you meet a rough person with red skin, you'll see that they are young too.	If someone is rough and red then they are young.	rule4	((("someone" "is" "rough" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "young" "+"))
AttNoneg8-theory	sent9	1464		If someone is blue, young, and rough, they qualify as being round.	If someone is rough and young and blue then they are round.	rule5	((("someone" "is" "rough" "+") ("someone" "is" "young" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "round" "+"))
AttNoneg8-theory	sent10	1715		Somebody fitting a young, blue and round description will also fit a green description.	If someone is blue and young and round then they are green.	rule6	((("someone" "is" "blue" "+") ("someone" "is" "young" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "green" "+"))
AttNoneg8-theory	sent11	1769		Round and big people are sure to be rough.	If someone is round and big then they are rough.	rule7	((("someone" "is" "round" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "rough" "+"))

AttNoneg9-theory	sent1	585	Alan	When you first meet Alan you know he is young and big, but later you find out he is also, incredibly kind, cold and rough.	Alan is young. Alan is rough. Alan is kind. Alan is cold. Alan is big. 	triple1 triple2 triple3 triple4 triple5 	("Alan" "is" "young" "+") ("Alan" "is" "rough" "+") ("Alan" "is" "kind" "+") ("Alan" "is" "cold" "+") ("Alan" "is" "big" "+") 
AttNoneg9-theory	sent2	627	Bob	Red Bob is what folks call him, because he is quite red.	Bob is red. 	triple6 	("Bob" "is" "red" "+") 
AttNoneg9-theory	sent3	106	Eric	Young Eric is already big and has rough, red skin from working outdoors.  Eric is kind but is feeling blue because of family troubles.	Eric is young. Eric is rough. Eric is red. Eric is kind. Eric is blue. Eric is big. 	triple7 triple8 triple9 triple10 triple11 triple12 	("Eric" "is" "young" "+") ("Eric" "is" "rough" "+") ("Eric" "is" "red" "+") ("Eric" "is" "kind" "+") ("Eric" "is" "blue" "+") ("Eric" "is" "big" "+") 
AttNoneg9-theory	sent4	760		People who are big and kind are also round.	If someone is kind and big then they are round.	rule1	((("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "round" "+"))
AttNoneg9-theory	sent5	831		A male or female with rough, kind and round traits will surely have a nice quality, as well.	If someone is rough and kind and round then they are nice.	rule2	((("someone" "is" "rough" "+") ("someone" "is" "kind" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg9-theory	sent6	840		This person is nice and young, also round, which makes them cold.	If someone is young and nice and round then they are cold.	rule3	((("someone" "is" "young" "+") ("someone" "is" "nice" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg9-theory	sent7	1335		Somebody whose descriptors are nice, big and kind will also fit a young descriptor.	If someone is nice and big and kind then they are young.	rule4	((("someone" "is" "nice" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "young" "+"))
AttNoneg9-theory	sent8	1819		Kind people who are also rough are young.	If someone is rough and kind then they are young.	rule5	((("someone" "is" "rough" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "young" "+"))

AttNoneg10-theory	sent1	595	Alan	Alan is both young and fairly round in size.	Alan is young. Alan is round. 	triple1 triple2 	("Alan" "is" "young" "+") ("Alan" "is" "round" "+") 
AttNoneg10-theory	sent2	321	Eric	Big Eric, the most blue guy I know while also being cold.	Eric is cold. Eric is blue. Eric is big. 	triple3 triple4 triple5 	("Eric" "is" "cold" "+") ("Eric" "is" "blue" "+") ("Eric" "is" "big" "+") 
AttNoneg10-theory	sent3	519	Gary	Gary is rough and green, but he's also nice, kind and round.	Gary is round. Gary is rough. Gary is nice. Gary is kind. Gary is green. 	triple6 triple7 triple8 triple9 triple10 	("Gary" "is" "round" "+") ("Gary" "is" "rough" "+") ("Gary" "is" "nice" "+") ("Gary" "is" "kind" "+") ("Gary" "is" "green" "+") 
AttNoneg10-theory	sent4	613	Harry	Harry is known to be rough and green.	Harry is rough. Harry is green. 	triple11 triple12 	("Harry" "is" "rough" "+") ("Harry" "is" "green" "+") 
AttNoneg10-theory	sent5	866		A blue person who is feeling a bit rough and cold will be wearing red.	If someone is blue and cold and rough then they are red.	rule1	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "red" "+"))
AttNoneg10-theory	sent6	867		A nice person who is green is feeling cold.	If someone is green and nice then they are cold.	rule2	((("someone" "is" "green" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg10-theory	sent7	907		Young and rough people tend to be green too.	If someone is young and rough then they are green.	rule3	((("someone" "is" "young" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "green" "+"))
AttNoneg10-theory	sent8	931		Rough people are often round.	If someone is rough then they are round.	rule4	((("someone" "is" "rough" "+")) -> ("someone" "is" "round" "+"))
AttNoneg10-theory	sent9	1067		If a kind person is also young and round shaped, they will be colored blue.	If someone is kind and young and round then they are blue.	rule5	((("someone" "is" "kind" "+") ("someone" "is" "young" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg10-theory	sent10	1736		Someone who is nice, green, and cold, is always going to be young.	If someone is nice and green and cold then they are young.	rule6	((("someone" "is" "nice" "+") ("someone" "is" "green" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "young" "+"))

AttNoneg11-theory	sent1	193	Alan	Alan is a big young boy with a bit of a rough streak. Most of the times he is nice, especially when his skin is green and blue.	Alan is young. Alan is rough. Alan is nice. Alan is green. Alan is blue. Alan is big. 	triple1 triple2 triple3 triple4 triple5 triple6 	("Alan" "is" "young" "+") ("Alan" "is" "rough" "+") ("Alan" "is" "nice" "+") ("Alan" "is" "green" "+") ("Alan" "is" "blue" "+") ("Alan" "is" "big" "+") 
AttNoneg11-theory	sent2	35	Charlie	Charlie always goes out of his way to show that he is kind to people.	Charlie is kind. 	triple7 	("Charlie" "is" "kind" "+") 
AttNoneg11-theory	sent3	496	Fred	Fred can be rather rough, but surprisingly loves the green. He can be rather blue, and is unusually big.	Fred is rough. Fred is green. Fred is blue. Fred is big. 	triple8 triple9 triple10 triple11 	("Fred" "is" "rough" "+") ("Fred" "is" "green" "+") ("Fred" "is" "blue" "+") ("Fred" "is" "big" "+") 
AttNoneg11-theory	sent4	890		Big, young people feel cold all the time.	If someone is young and big then they are cold.	rule1	((("someone" "is" "young" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg11-theory	sent5	1023		A person who is described as young and cold, but also described as rough is nice.	If someone is young and cold and rough then they are nice.	rule2	((("someone" "is" "young" "+") ("someone" "is" "cold" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg11-theory	sent6	1117		Look for the blue and green people, they are kind and will give you directions if you're lost.	If someone is blue and green then they are kind.	rule3	((("someone" "is" "blue" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg11-theory	sent7	1215		Any person who is blue and round, if they are kind at the same time, will be young.	If someone is blue and round and kind then they are young.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "round" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "young" "+"))
AttNoneg11-theory	sent8	1245		A person fitting the description of rough, cold and red will also be a nice person.	If someone is rough and cold and red then they are nice.	rule5	((("someone" "is" "rough" "+") ("someone" "is" "cold" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg11-theory	sent9	1396		Like a blueberry, a big blue person is round as anything.	If someone is blue and big then they are round.	rule6	((("someone" "is" "blue" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "round" "+"))
AttNoneg11-theory	sent10	1728		Rough people who are nice and have green thumbs are almost always young.	If someone is nice and green and rough then they are young.	rule7	((("someone" "is" "nice" "+") ("someone" "is" "green" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "young" "+"))

AttNoneg12-theory	sent1	377	Alan	When you see Alan, you will notice he is cold, big and kind.	Alan is kind. Alan is cold. Alan is big. 	triple1 triple2 triple3 	("Alan" "is" "kind" "+") ("Alan" "is" "cold" "+") ("Alan" "is" "big" "+") 
AttNoneg12-theory	sent2	52	Eric	Eric has a round face and is very nice.	Eric is round. Eric is nice. 	triple4 triple5 	("Eric" "is" "round" "+") ("Eric" "is" "nice" "+") 
AttNoneg12-theory	sent3	362	Gary	Gary was born only a few years ago so he is young.	Gary is young. 	triple6 	("Gary" "is" "young" "+") 
AttNoneg12-theory	sent4	497	Harry	Harry is a very rough person. As expected, he's also a very cold and big individual.	Harry is rough. Harry is cold. Harry is big. 	triple7 triple8 triple9 	("Harry" "is" "rough" "+") ("Harry" "is" "cold" "+") ("Harry" "is" "big" "+") 
AttNoneg12-theory	sent5	934		Rough people are often always nice.	If someone is rough then they are nice.	rule1	((("someone" "is" "rough" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg12-theory	sent6	958		A rough and kind person is big.	If someone is kind and rough then they are big.	rule2	((("someone" "is" "kind" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "big" "+"))
AttNoneg12-theory	sent7	966		A big, kind someone could also be cold in a green dress.	If someone is big and kind and cold then they are green.	rule3	((("someone" "is" "big" "+") ("someone" "is" "kind" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "green" "+"))
AttNoneg12-theory	sent8	1132		Blue people who are cold are always round in shape.	If someone is blue and cold then they are round.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "round" "+"))
AttNoneg12-theory	sent9	1660		A kind person who is green is usually round.	If someone is kind and green then they are round.	rule5	((("someone" "is" "kind" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "round" "+"))
